2026-01-14 02:55:25 | IP: 127.0.0.1 | Time: 00:15:15 | Status: Был в сети: 45 минут назад | Event: Пользователь user покинул этот мир.
2026-01-14 02:55:36 | IP: 127.0.0.1 | Time: 00:00:00 | Status: Был в сети: 45 минут назад | Event: Пользователь user авторизовался.
2026-01-14 02:55:39 | IP: 127.0.0.1 | Time: 00:04:24 | Status: Был в сети: 45 минут назад | Event: Пользователь user покинул этот мир.
2026-01-14 02:56:29 | IP: 127.0.0.1 | Time: 00:00:00 | Status: Был в сети: 45 минут назад | Event: Пользователь user авторизовался.
2026-01-14 02:56:34 | IP: 127.0.0.1 | Time: 00:00:05 | Status: Был в сети: 45 минут назад | Event: Пользователь user покинул этот мир.
2026-01-14 03:06:33 | IP: 127.0.0.1 | Time: 00:00:00 | Status: Был в сети: 45 минут назад | Event: Пользователь user авторизовался.
2026-01-14 03:06:36 | IP: 127.0.0.1 | Time: 00:00:03 | Status: Был в сети: 45 минут назад | Event: Пользователь user покинул этот мир.
2026-01-14 03:06:39 | IP: 127.0.0.1 | Time: 00:00:00 | Status: Был в сети: 45 минут назад | Event: Пользователь user авторизовался.
2026-01-14 03:06:40 | IP: 127.0.0.1 | Time: 00:00:01 | Status: Был в сети: 45 минут назад | Event: Пользователь user покинул этот мир.
2026-01-14 03:06:43 | IP: 127.0.0.1 | Time: 00:00:00 | Status: online | Event: Пользователь admin авторизовался.
2026-01-14 03:06:44 | IP: 127.0.0.1 | Time: 00:00:01 | Status: online | Event: Пользователь admin покинул этот мир.
2026-01-14 03:06:46 | IP: 127.0.0.1 | Time: 00:00:00 | Status: online | Event: Пользователь admin авторизовался.
2026-01-14 03:07:41 | IP: 127.0.0.1 | Time: 00:00:55 | Status: online | Event: Пользователь admin оставил комментарий к записи [Id: 1]: sdfdsfsdfsfsfs
2026-01-14 03:20:05 | IP: 127.0.0.1 | Time: 00:13:19 | Status: online | Event: Пользователь admin покинул этот мир.
2026-01-14 03:20:12 | IP: 127.0.0.1 | Time: 00:00:00 | Status: online | Event: Пользователь admin авторизовался.
2026-01-14 03:20:40 | IP: 127.0.0.1 | Time: 00:00:28 | Status: online | Event: Пользователь admin покинул этот мир.
2026-01-14 03:20:46 | IP: 127.0.0.1 | Time: 00:00:00 | Status: online | Event: Пользователь admin авторизовался.
2026-01-14 03:21:53 | IP: 127.0.0.1 | Time: 00:01:07 | Status: online | Event: Пользователь admin покинул этот мир.
